FIPS Code,County,State,Num Trump Votes,Total Votes Cast,% Trump,% Yes MN Marriage Amendment,% Obama,PopPerSqMile,PerCap Income,AvgHousehold Size,% Poverty,% 65 or Older,% Bachelor or higher,% Romney
27001,"Aitkin County, MN",MN,5516,9231,59.76,61.82,48.4,8.9,24.694,2.06,12.2,28.5,15.1,49.8
27003,"Anoka County, MN",MN,93339,185758,50.25,50.61,47.7,782.1,29.894,2.7,6.6,10.8,25.8,50.3
27005,"Becker County, MN",MN,10880,17222,63.18,62.92,41.8,24.7,25.233,2.38,11.5,18.3,21.4,56.4
27007,"Beltrami County, MN",MN,10783,21564,50,51.08,53.8,17.7,21.753,2.56,19.7,13.7,29.1,43.9
27009,"Benton County, MN",MN,12872,20058,64.17,55.39,41.9,94.2,23.924,2.48,13.4,12.8,18.8,55.6
27011,"Big Stone County, MN",MN,1608,2755,58.37,67.05,48.3,10.6,24.96,2.15,11.2,25.4,16.8,49.8
27013,"Blue Earth County, MN",MN,15667,33593,46.64,45.83,53.4,85.6,23.996,2.49,18.9,12.2,29.6,43.8
27015,"Brown County, MN",MN,8708,13779,63.2,66.37,40.6,42.4,26.046,2.28,10,19.5,18.5,57.2
27017,"Carlton County, MN",MN,8160,18211,44.81,51.94,62,41.1,24.808,2.42,11.2,15.5,22.4,35.9
27019,"Carver County, MN",MN,29056,55696,52.17,50.02,39.3,256.9,36.807,2.72,5,9.3,42.9,59.1
27021,"Cass County, MN",MN,9982,15999,62.39,61.94,42.6,14.1,24.772,2.17,15.1,22.7,20,55.7
27023,"Chippewa County, MN",MN,3764,6222,60.5,63.12,49.9,21.4,24.211,2.32,10.8,19.7,16.6,48
27025,"Chisago County, MN",MN,18441,30228,61.01,56.85,42.7,129.9,27.626,2.63,7.1,12.8,18.3,55.3
27027,"Clay County, MN",MN,13543,29398,46.07,50.47,52.9,56.4,23.771,2.45,13,12.2,30.4,44.9
27029,"Clearwater County, MN",MN,2925,4245,68.9,70.91,41.9,8.7,21.466,2.31,16.2,18.9,15.7,56.4
27031,"Cook County, MN",MN,1156,3395,34.05,39.9,60.3,3.6,30.501,1.95,9.1,22.8,34.4,37
27033,"Cottonwood County, MN",MN,3679,5721,64.31,70.03,41.6,18.3,22.028,2.33,11.7,22.2,17.1,56.7
27035,"Crow Wing County, MN",MN,22287,35842,62.18,59.75,42.4,62.6,25.645,2.28,12.2,19.6,22.2,55.8
27037,"Dakota County, MN",MN,99583,231440,43.03,44.59,50.5,709,34.822,2.6,6,11.1,38.4,47.6
27039,"Dodge County, MN",MN,6527,10654,61.26,58.62,43.7,45.7,27.776,2.69,6.5,12.7,22.1,53.8
27041,"Douglas County, MN",MN,13966,21785,64.11,63.74,41.4,56.5,26.301,2.18,11,20.7,22.5,56.9
27043,"Faribault County, MN",MN,4659,7412,62.86,64.93,44.3,20.4,23.185,2.27,11.8,22.3,16.6,53.4
27045,"Fillmore County, MN",MN,6271,11055,56.73,56.61,52.6,24.2,24.318,2.4,12.6,19.8,18.7,45.3
27047,"Freeborn County, MN",MN,8808,16051,54.88,60.04,56,44.2,24.409,2.33,11.2,20.7,14.2,41.9
27049,"Goodhue County, MN",MN,14041,25717,54.6,52.4,47.5,61,27.996,2.41,8.2,17.7,22.2,50.5
27051,"Grant County, MN",MN,2063,3473,59.4,63.86,47.5,11,24.169,2.23,12.4,23,17.2,50.4
27053,"Hennepin County, MN",MN,191770,679977,28.2,34.72,62.5,2081.7,36.858,2.36,12.3,11.9,44.7,35.4
27055,"Houston County, MN",MN,5616,10604,52.96,57.68,50.7,34.5,25.791,2.4,9,18.6,22.7,47.5
27057,"Hubbard County, MN",MN,7261,11505,63.11,61.85,40.7,22.1,24.869,2.33,12,22.3,22.3,57.7
27059,"Isanti County, MN",MN,13635,21016,64.88,60.99,39.9,86.8,25.184,2.71,8.2,13.4,16.5,58
27061,"Itasca County, MN",MN,12920,23880,54.1,55.66,53.9,16.9,24.067,2.35,11.4,20,21.2,44.1
27063,"Jackson County, MN",MN,3609,5484,65.81,68.83,41.9,14.6,25.744,2.22,11.2,19.9,15.9,56.2
27065,"Kanabec County, MN",MN,5230,8177,63.96,64.5,44.2,31.1,21.35,2.56,12,17.7,13.2,53.3
27067,"Kandiyohi County, MN",MN,12785,21772,58.72,62.76,45.8,53,27.053,2.38,12.7,16.8,21.4,52.5
27069,"Kittson County, MN",MN,1349,2385,56.56,66.44,51.6,4.1,25.973,2.27,8,22.9,21.4,45.5
27071,"Koochiching County, MN",MN,3569,6363,56.09,53.79,53.7,4.3,24.829,2.11,12.6,20.4,17.2,44.2
27073,"Lac Qui Parle County, MN",MN,2293,3860,59.4,67.66,49.7,9.5,25.519,2.32,9.1,24.2,16.2,48.8
27075,"Lake County, MN",MN,2932,6521,44.96,51,59.5,5.2,26.675,2.02,11.2,23.5,20,38.4
27077,"Lake of the Woods County, MN",MN,1540,2242,68.69,63.91,38.7,3.1,25.999,2.35,15.9,21,15.9,58.8
27079,"Le Sueur County, MN",MN,9182,14971,61.33,57.57,45.8,61.7,26.481,2.51,9.2,15.4,21.3,52.4
27081,"Lincoln County, MN",MN,1931,3019,63.96,70.24,45.9,11,25.57,2.24,9.4,25.3,18.1,51.2
27083,"Lyon County, MN",MN,7256,12215,59.4,61.99,44.3,36.2,24.125,2.4,13.1,14.1,25.8,53.5
27085,"McLeod County, MN",MN,12155,18807,64.63,65.7,37.8,74.6,27.704,2.43,7.5,16.4,18.3,60
27087,"Mahnomen County, MN",MN,991,2088,47.46,61.36,58.6,9.7,18.533,2.65,26.4,16.7,13.7,40
27089,"Marshall County, MN",MN,3208,4817,66.6,66.42,42.8,5.3,25.828,2.28,8.8,19.6,16.6,54.9
27091,"Martin County, MN",MN,7062,10531,67.06,67.62,37.1,29.3,25.354,2.28,9.3,21.1,19.1,60.9
27093,"Meeker County, MN",MN,8104,12282,65.98,64.47,40.8,38.3,24.766,2.44,9.4,17.4,16.1,56.8
27095,"Mille Lacs County, MN",MN,8340,13017,64.07,60.73,44.7,45.6,22.221,2.41,13.4,16.9,14.7,53.3
27097,"Morrison County, MN",MN,12925,17614,73.38,67.85,36.9,29.5,23.154,2.4,13.1,16.7,14.8,61
27099,"Mower County, MN",MN,8823,17715,49.81,56.78,60.3,55.1,24.17,2.39,15.3,17.3,16.1,37.6
27101,"Murray County, MN",MN,2974,4668,63.71,71.01,45.4,12.4,25.344,2.19,9.9,23.1,15.7,52.7
27103,"Nicollet County, MN",MN,8437,18097,46.62,46.98,52.8,73,26.108,2.46,11.3,13,33.2,44.9
27105,"Nobles County, MN",MN,5299,8632,61.39,74.34,44.7,29.9,21.634,2.59,19.5,16,15.6,53.9
27107,"Norman County, MN",MN,1699,3261,52.1,63.02,54.1,7.9,23.463,2.35,12.7,21.7,14.9,43.3
27109,"Olmsted County, MN",MN,35668,80129,44.51,48.96,50.5,220.8,33.85,2.47,8.1,13.3,40.4,47.3
27111,"Otter Tail County, MN",MN,20939,32500,64.43,66.53,38.5,29.1,24.74,2.28,12.9,21.8,21.2,59.8
27113,"Pennington County, MN",MN,4000,6715,59.57,61.4,46.6,22.6,23.142,2.3,11,16,15.4,50.9
27115,"Pine County, MN",MN,8191,13811,59.31,62.15,48.5,21.1,21.769,2.35,15,17.5,12.8,49.2
27117,"Pipestone County, MN",MN,3338,4808,69.43,75.59,37.3,20.6,23.31,2.38,11.3,20.1,16.7,61
27119,"Polk County, MN",MN,8979,14796,60.69,64.59,46.3,16,24.274,2.41,12.2,16.7,21.7,52
27121,"Pope County, MN",MN,3793,6319,60.03,63.5,47.9,16.4,27.727,2.24,7.6,22.3,18.5,50.5
27123,"Ramsey County, MN",MN,70894,273143,25.95,36.45,66.6,3341.7,29.437,2.4,16.4,12.4,38.8,31.2
27125,"Red Lake County, MN",MN,1141,1881,60.66,67.66,47.3,9.5,22.408,2.31,10.4,18,13.9,49.8
27127,"Redwood County, MN",MN,5137,7611,67.49,69.52,38.8,18.3,24.493,2.36,10.5,20.4,16.4,58.9
27129,"Renville County, MN",MN,4890,7606,64.29,66.28,44.2,16,24.317,2.39,10.8,19.9,15.9,54
27131,"Rice County, MN",MN,15429,32443,47.56,46.31,53,129.4,24.783,2.51,10.8,13.1,26.9,44.7
27133,"Rock County, MN",MN,3091,4839,63.88,73.43,40.3,20.1,23.094,2.38,11.1,19.8,17.2,58.2
27135,"Roseau County, MN",MN,5451,7804,69.85,69.94,37.8,9.3,23.73,2.44,11.4,14.9,17.5,60.2
27137,"St. Louis County, MN",MN,44630,112422,39.7,44.12,63.7,32,25.586,2.2,16,16.4,25.5,34.1
27139,"Scott County, MN",MN,39948,75029,53.24,48.93,41.6,364.5,34.532,2.86,5,8.5,36.3,56.5
27141,"Sherburne County, MN",MN,31053,48283,64.31,56.32,38,204.4,27.444,2.91,8,9.2,24.3,60.1
27143,"Sibley County, MN",MN,5193,7774,66.8,68.68,37.5,25.9,24.563,2.42,12.1,16.9,13.7,60.3
27145,"Stearns County, MN",MN,47617,79592,59.83,53.02,42.9,112.2,25.329,2.49,12.8,12.7,23.9,55
27147,"Steele County, MN",MN,11198,19179,58.39,55.57,45.7,85.1,26.114,2.55,8.8,15.1,23.7,52
27149,"Stevens County, MN",MN,2799,5398,51.85,55.66,48.8,17.3,25.855,2.35,14.3,16.4,25,49.2
27151,"Swift County, MN",MN,2963,4994,59.33,60.9,54.1,13.2,22.699,2.14,9.2,20.6,14.1,44.2
27153,"Todd County, MN",MN,8485,11993,70.75,71.19,41,26.3,21.406,2.45,15.5,18.2,11.8,57.1
27155,"Traverse County, MN",MN,1049,1798,58.34,66.24,51.2,6.2,25.743,2.19,8.2,26.2,16.3,46.7
27157,"Wabasha County, MN",MN,6989,11832,59.07,59.18,46.2,41.4,27.339,2.44,7.6,17.7,18.6,51.6
27159,"Wadena County, MN",MN,4837,6934,69.76,69.59,36.8,25.8,19.812,2.26,18,21.4,13.8,61.2
27161,"Waseca County, MN",MN,5967,9653,61.81,59.78,45,45.2,24.408,2.46,8.4,15.3,19,52.7
27163,"Washington County, MN",MN,64428,144235,44.67,44.73,49.5,619.7,36.786,2.67,5.7,11.7,40,48.8
27165,"Watonwan County, MN",MN,2768,4998,55.38,63.62,48.8,25.8,24.187,2.51,10.4,19,14.9,49.2
27167,"Wilkin County, MN",MN,2129,3302,64.48,68.58,39.2,8.8,25.118,2.43,7,18,17.3,58.7
27169,"Winona County, MN",MN,12122,26074,46.49,47.02,55.3,82.2,22.327,2.45,16,14.1,25.3,42.4
27171,"Wright County, MN",MN,43274,69618,62.16,56.03,38.2,188.5,29.231,2.73,5.6,10.4,25.4,59.6
27173,"Yellow Medicine County, MN",MN,3382,5276,64.1,65.47,45.7,13.8,23.718,2.45,13.8,19.5,18.1,52
