Gender,Income,Age,Marital,Num.Kids,College.Deg,Price.Paid
M,40000,48,M,3,No,13600
F,16500,24,S,0,Yes,10500
M,18000,25,S,0,Yes,14000
M,42000,37,M,2,Yes,18000
F,25000,34,M,1,No,7500
M,81000,50,M,3,Yes,22500
M,52000,29,M,2,Yes,21000
F,30000,34,S,0,No,11000
F,44000,36,S,1,Yes,14500
M,40000,33,M,2,Yes,14800
M,75000,52,M,3,Yes,28000
M,33000,28,S,0,No,11800
F,28000,31,S,2,No,7400
F,35000,45,M,2,Yes,12000
M,102000,48,M,2,Yes,23000
M,23000,24,S,0,No,15000
M,81900,42,M,2,Yes,21800
F,26500,30,S,0,Yes,11500
M,34000,33,M,3,Yes,12000
M,65000,37,M,1,Yes,18500
M,39000,39,S,0,No,15500
M,15000,21,S,0,No,7200
F,33500,28,M,2,Yes,13000
F,23500,35,S,0,No,11000
M,61000,32,S,2,Yes,18500
M,54000,40,M,3,No,16400
M,45000,25,S,0,Yes,18500
M,27000,26,M,0,No,13000
F,23500,25,S,0,Yes,11200
M,52000,34,M,3,No,14500
M,43800,39,M,2,Yes,15200
M,35000,45,M,1,No,10800
F,33000,32,S,0,Yes,14000
M,62500,46,M,2,Yes,18800
M,47800,52,M,2,Yes,16700
M,24800,26,S,0,No,8400
F,33600,29,S,0,No,10400
F,41900,34,M,2,Yes,13600
M,71000,42,M,2,Yes,26000
M,21000,30,S,0,No,13200
M,93800,46,M,3,Yes,26800
M,65000,44,M,2,Yes,21800
F,32000,27,M,1,Yes,14600
M,28000,29,S,0,No,10900
M,71000,45,M,3,Yes,24000
M,52000,44,M,2,No,18600
M,36000,29,M,1,No,14500
M,61000,57,M,2,No,18900
M,96000,58,M,4,No,22500
M,48000,49,M,2,Yes,16200
F,16800,22,S,0,No,7800
M,37000,31,S,0,Yes,12600
M,53000,28,S,0,Yes,15200
M,63000,49,M,1,Yes,14800
M,85900,55,M,3,Yes,26000
F,33000,29,S,0,Yes,12800
F,44000,43,S,0,Yes,18900
M,56000,47,M,2,Yes,16700
M,27000,25,S,0,No,10900
M,33500,31,M,1,Yes,12700
F,46000,46,M,3,Yes,14500
M,44000,48,M,3,No,9800
