District,Enrollment,PPE,AVPP,LogPPE,LogAVPP,LogEnrollment
Erie-St. Paul,1185,6427.61,23425,8.768358053,10.061559107,7.0774980536
Cimarron-Ensign,660,6058.49,43207,8.7092158731,10.673757798,6.492239835
Cheylin,177,8797.9,104212,9.0822683356,11.554182565,5.1761497326
White Rock,164,8726.05,80569,9.0740680837,11.296869239,5.0998664278
Greeley County,320,7258.61,91123,8.8899436294,11.419965521,5.7683209958
Turner,3704,5377.52,28835,8.5899825803,10.269345206,8.2171685958
Piper,1308,5896.28,27026,8.6820769226,10.204554645,7.176254532
Bonner Springs,2277,5398.44,31564,8.5938653019,10.35977251,7.7306140661
Leon,776,6648.62,29795,8.8021645933,10.302095873,6.6541525202
Remington-Whitewater,561,7012.37,46530,8.8554310113,10.747852545,6.3297209055
Ft. Leavenworth,1896,4520.92,680,8.4164707919,6.5220927982,7.5475016828
WaKeeney,511,6470.56,51945,8.7750179371,10.857940746,6.2363695902
Moscow,260,9620.07,288072,9.1716068201,12.570965728,5.560681631
Hugoton,1043,6400.63,216384,8.764151702,12.284809886,6.949856455
Norton,744,6484.85,27439,8.7772239662,10.219720638,6.6120410348
Northern Valley,188,8520.94,46426,9.0502819424,10.745614926,5.2364419628
West Solomon,74,10093.17,109349,9.2196142365,11.602299881,4.3040650932
Ulysses,1778,5454.42,133677,8.6041815681,11.803181721,7.4832444161
Lakin,773,6751.55,164709,8.8175273871,12.011935559,6.6502790486
Deerfield,375,7402.77,138225,8.9096095335,11.836638071,5.926926026
Rolla,237,9038.99,263383,9.1093027215,12.481364526,5.4680601411
Elkhart,527,7731.29,101412,8.9530310099,11.526946706,6.2672005485
Minneola,265,7241.05,59099,8.8875215025,10.986969283,5.579729826
Ashland,268,7925.06,78281,8.9777851697,11.268060196,5.5909869805
North Central,143,9806.37,69054,9.1907874535,11.142644086,4.9628446303
Washington,370,6922.12,31179,8.8424773601,10.34750007,5.9135030056
Barnes,502,7959.18,51421,8.9820812585,10.847801928,6.2186001197
Clifton-Clyde,355,6964.96,50342,8.8486471432,10.826594998,5.8721177895
Fowler,172,9761.66,76158,9.1862177469,11.240565409,5.1474944768
Meade,516,6811.07,86980,8.8263045087,11.373433486,6.2461067655
Jetmore,353,6699.96,40512,8.8098568352,10.609353506,5.8664680569
Hanston,135,10140.91,58480,9.2243330167,10.976440094,4.9052747784
Blue Valley,17111,5744.26,90665,8.6559563743,11.414926674,9.7474768105
Spring Hill,1488,5958.46,38868,8.6925673374,10.567926569,7.3051882154
Gardner-Edgerton,2879,5809.81,47447,8.6673031471,10.767368578,7.9651982906
DeSoto,3249,6049.49,53119,8.70772925,10.880289959,8.0861025357
Olathe,20703,5724.35,57254,8.6524842849,10.955252788,9.9380338963
Ft. Scott,2132,4703.09,26658,8.4559750185,10.190844572,7.6648157853
Uniontown,525,6415.96,22889,8.7665439151,10.038411725,6.2633982626
Smith Center,570,6556.91,43138,8.7882747344,10.672159558,6.3456363608
West Smith Co.,208,7488.66,38927,8.9211451553,10.569443376,5.3375380797
North Ottawa Co.,664,6641.4,38289,8.8010780636,10.552917928,6.4982821495
Twin Valley,676,6790.89,27710,8.8233372871,10.229548638,6.516193076
Wallace,278,6814.71,60335,8.82683879,11.007667646,5.6276211137
Weskan,132,9013.44,73586,9.1064720757,11.206210069,4.8828019226
Lebo-Waverly,602,6696.94,34333,8.8094059846,10.44386227,6.4002574453
Burlington,966,6333.04,494842,8.7535356526,13.111993799,6.8731638342
LeRoy-Gridley,344,6419.23,49144,8.7670534518,10.802510043,5.8406416574
Northeast,544,6742.63,23301,8.8162053355,10.056251557,6.2989492469
Cherokee,864,6082.39,26457,8.7131529898,10.183276053,6.7615727688
Girard,1168,5743,25399,8.6557370009,10.142465082,7.0630481634
Frontenac,749,5528.02,22222,8.6175849834,10.008838068,6.6187389835
Pittsburg,2631,5016.7,42388,8.520527626,10.654620582,7.875119281
North Lyon Co.,733,6274.54,34828,8.7442554545,10.45817694,6.5971457019
Southern Lyon Co.,655,6296.64,38237,8.7477714368,10.551558912,6.4846352356
Emporia,4964,5106.7,27688,8.538308682,10.228754385,8.5099671463
Barber Co.,710,6087.46,45217,8.7139861965,10.719228401,6.56526497
South Barber Co.,343,6864.86,50870,8.8341709247,10.837028638,5.8377304472
Marmaton Valley,424,6371.17,30175,8.7595384052,10.314769046,6.0497334552
Iola,1656,5470.41,22621,8.6071088469,10.026633957,7.4121603349
Humboldt,551,6520.24,34823,8.7826664641,10.458033367,6.3117348092
Wichita,48228,5175.25,41810,8.5516429261,10.640890824,10.783695044
Derby,6800,4824.19,33292,8.481398124,10.413072407,8.8246778912
Haysville,4697,5471.43,20180,8.6072952872,9.9124472939,8.454679286
Valley Center,2376,5186.79,26393,8.5538702877,10.180854102,7.7731736805
Mulvane,1996,4865.34,20617,8.4898918791,9.9338712572,7.5989004569
Clearwater,1214,5677.9,41476,8.644336725,10.632870226,7.1016759716
Goddard,3679,5544.01,29463,8.6204733446,10.290890518,8.2103962551
Maize,5308,5497.63,30041,8.6120723693,10.310318394,8.5769703955
Renwick,1963,5637.89,33168,8.637265161,10.409340835,7.5822291943
Cheney,789,6500.93,23758,8.7797005226,10.075674595,6.6707663208
Palco,165,9551.07,60924,9.1644084691,11.017382465,5.1059454739
Plainville,425,7278.15,48127,8.892631988,10.781598629,6.0520891689
Stockton,433,6291.97,36471,8.7470294962,10.504272703,6.070737728
Waconda,535,6663.15,34387,8.8043476247,10.445433865,6.2822667469
Beloit,788,6587.49,45752,8.7929276748,10.730990786,6.6694980899
Oakley,480,6801.54,55881,8.8249043361,10.930979709,6.1737861039
Triplains,95,11234.56,124776,9.3267500205,11.734275409,4.5538768916
Mankato,277,7296.54,31589,8.8951555422,10.360564238,5.6240175062
Jewell,185,8995.13,51409,9.1044385988,10.847568533,5.2203558251
Morland,66,10680.96,90924,9.2762179961,11.417779272,4.189654742
Hill City,412,6577.15,40377,8.7913567998,10.606015595,6.0210233493
West Elk,516,6721.83,38766,8.8131157179,10.565298853,6.2461067655
Elk Valley,239,7431.39,25494,8.9134681996,10.146198409,5.4764635519
Chase County,481,6773.22,66386,8.8207318806,11.10324147,6.1758672701
Cedar Vale,218,7419.9,38420,8.911920859,10.556333436,5.3844950628
Chautauqua,496,6339.54,27004,8.7545614896,10.203740282,6.2065759267
