LGTHIN,LGTCM,HGPPM
9.4,23.876,0.05
9.6,24.384,0.05
10.1,25.654,0.05
10.8,27.432,0.27
11,27.94,0.07
11.3,28.702,0.04
11.5,29.21,0.07
11.5,29.21,0.06
11.6,29.464,0.08
12.2,30.988,0.08
12.2,30.988,0.06
12.7,32.258,0.06
13,33.02,0.09
13.2,33.528,0.08
13.3,33.782,0.08
13.7,34.798,0.12
13.7,34.798,0.08
13.7,34.798,0.08
13.8,35.052,0.09
14.2,36.068,0.13
14.7,37.338,0.09
14.7,37.338,0.1
15,38.1,0.12
15.5,39.37,0.11
28,71.12,0.56
11,27.94,0.05
11.4,28.956,0.07
11.9,30.226,0.06
12.3,31.242,0.07
12.6,32.004,0.08
13.3,33.782,0.07
13.9,35.306,0.07
14.1,35.814,0.12
14.8,37.592,0.09
15.2,38.608,0.12
15.4,39.116,0.15
15.4,39.116,0.13
16.2,41.148,0.16
16.4,41.656,0.24
15.7,39.878,0.1
16,40.64,0.09
16.8,42.672,0.12
16.5,41.91,0.1
16.4,41.656,0.19
16.9,42.926,0.3
16.5,41.91,0.15
17,43.18,0.2
17.6,44.704,0.48
18,45.72,0.17
17.9,45.466,0.17
18.3,46.482,0.59
18.3,46.482,0.17
18.5,46.99,0.26
18.5,46.99,0.26
18.7,47.498,0.23
18.7,47.498,0.24
19.5,49.53,0.21
19.4,49.276,0.19
21.6,54.864,0.44
20.6,52.324,0.29
22.2,56.388,0.55
20.5,52.07,0.21
23.3,59.182,0.36
10.3,26.162,0.27
10.5,26.67,0.23
11.5,29.21,0.45
12.2,30.988,0.36
27.1,68.834,2.49
10.4,26.416,0.27
11.4,28.956,0.3
12.4,31.496,0.34
13.6,34.544,0.44
13.9,35.306,0.34
13.5,34.29,0.34
14.6,37.084,0.51
14.6,37.084,0.6
15.6,39.624,0.4
15.4,39.116,0.34
15.7,39.878,0.68
15.9,40.386,0.41
16.4,41.656,0.44
16.1,40.894,0.31
16.8,42.672,0.61
17.6,44.704,0.53
17.3,43.942,0.64
20.1,51.054,1.1
20.6,52.324,1.05
22.3,56.642,0.62
