CITY,ZIP,ListPrice,BEDS,BATHS,SQFT,LotSize,Age,HasGarage,LATITUDE,LONGITUDE
St. Paul,55113,214000,3,2,1954,6969,96,Garage,44.991634,-93.142616
St. Paul,55104,134900,3,1,1028,4356,103,Garage,44.957291,-93.142624
St. Paul,55106,129722,4,1,1420,5227,114,No Garage,44.954708,-93.057976
St. Paul,55104,134900,2,1.75,904,8712,86,Garage,44.952404,-93.142693
Shoreview,55126,444900,4,2.5,2014,12632,0,Garage,44.944391,-93.141348
St. Paul,55106,134900,4,1,1980,4791,110,Garage,44.964642,-93.057945
Minneapolis,55418,159000,3,2,1594,3484,114,Garage,45.012962,-93.244789
St. Paul,55106,69900,3,1.25,1255,7405,120,Garage,44.971966,-93.05616
St. Paul,55106,79990,2,1.25,816,4791,87,Garage,44.977798,-93.057526
St. Paul,55106,69900,3,1.5,1200,4791,138,No Garage,44.960121,-93.057121
St. Paul,55116,249900,3,1.75,2056,6098,62,Garage,44.910465,-93.181953
St. Paul,55104,149900,5,1.75,1602,4791,99,Garage,44.954582,-93.143738
St. Paul,55103,177500,2,1,1538,4791,85,Garage,44.972698,-93.134132
St. Paul,55104,144900,3,1,1108,4791,67,Garage,44.962364,-93.144569
St. Paul,55116,464900,3,1.75,2132,12196,58,Garage,44.909348,-93.180634
St. Paul,55104,72000,3,2,1644,6969,100,Garage,44.958725,-93.145119
St. Paul,55106,147500,3,1,1455,5662,61,Garage,44.973854,-93.029457
St. Paul,55104,119900,2,1,735,5662,68,Garage,44.965065,-93.145378
St. Paul,55117,57500,3,2,1117,4791,106,Garage,44.973686,-93.108864
St. Paul,55117,80000,2,1.5,776,5662,97,Garage,44.97377,-93.118416
St. Paul,55116,214900,3,1.75,1434,6098,63,Garage,44.90863,-93.187813
St. Paul,55117,154900,4,2,1834,4791,108,Garage,44.973911,-93.110695
St. Paul,55117,79900,2,1,700,5662,104,Garage,44.973938,-93.115227
St. Paul,55106,129900,3,1.75,1252,4791,93,Garage,44.975998,-93.054565
St. Paul,55105,699900,7,4.25,3955,6534,91,Garage,44.933537,-93.145943
