WTLB,LGTHIN,HGPPM
0.4,11,0.31
0.8,13,0.31
0.8,13.2,0.54
0.9,13.6,0.34
1.5,16.5,0.63
0.3,9.8,0.17
0.4,10.7,0.42
0.6,12.8,0.41
2.1,19.7,0.55
1.3,15.5,0.4
1.5,16.7,0.45
3.5,21.9,0.86
6.5,25.9,1.02
0.8,13.1,0.31
1.3,16,0.47
1.6,17.5,0.44
3.2,24.7,0.82
1.1,14.9,0.59
1.3,15.6,0.68
1.9,17.4,0.68
3.2,21.2,0.68
3.1,21.2,0.61
5.1,24.2,1.5
6.2,25.9,1
4.4,23.8,1.3
0.4,10.8,0.39
0.4,10.9,0.22
0.4,10.4,0.28
0.4,11,0.25
0.5,11.6,0.45
0.5,11.4,0.24
0.5,12.1,0.25
0.6,12.6,0.43
0.7,13,0.36
1.2,15,0.68
1.4,15.8,0.4
1.6,16.7,0.51
1.5,16.6,0.72
1.9,17.9,0.48
2.1,18.5,1.02
0.6,12.7,0.71
0.9,14.1,1
0.9,14.1,0.94
1,14.4,0.7
1.1,15.1,0.83
1.2,15.1,0.69
1.2,15.2,0.55
1.4,15.9,0.62
1.3,15.9,0.65
1.9,17.9,1.21
2.6,20.1,0.87
2.7,20.4,1.05
3.1,21,1.08
2.9,21.2,1.44
3.6,23.2,1.33
4.6,24.8,2.11
4.5,23.9,1.34
4.4,22.8,0.98
